OBJECTID,TransOrder,POINT_X,POINT_Y,UniqueID,M_ft,Z_ft,Beach,Fema_VE_ft
1,1,6003026.291,1936643.138,1,0,-50,Pomponio,23
2,1,6007009.928,1936019.584,2,4032.144184,5.611000061,Pomponio,23
3,1,6007013.17,1936019.076,3,4035.425142,8.979999542,Pomponio,23
4,1,6007016.411,1936018.569,4,4038.705725,11.25199986,Pomponio,23
5,1,6007019.652,1936018.062,5,4041.986683,11.09599972,Pomponio,23
6,1,6007022.894,1936017.554,6,4045.267591,12.61200047,Pomponio,23
7,1,6007026.135,1936017.047,7,4048.548225,10.99100018,Pomponio,23
8,1,6007029.376,1936016.54,8,4051.829132,4.212999821,Pomponio,23
9,1,6007032.618,1936016.032,9,4055.11009,3.53399992,Pomponio,23
10,1,6007035.859,1936015.525,10,4058.390674,3.65899992,Pomponio,23
11,1,6007039.101,1936015.017,11,4061.671632,3.875999928,Pomponio,23
12,1,6007042.342,1936014.51,12,4064.952539,3.746000051,Pomponio,23
13,1,6007045.583,1936014.003,13,4068.233447,6.186999798,Pomponio,23
14,1,6007048.825,1936013.495,14,4071.514081,20.32699966,Pomponio,23
15,1,6007052.066,1936012.988,15,4074.794988,26.24799919,Pomponio,23
16,1,6007055.308,1936012.481,16,4078.075946,55.3219986,Pomponio,23
17,1,6007058.549,1936011.973,17,4081.35653,78.34700012,Pomponio,23
18,1,6007061.79,1936011.466,18,4084.637488,89.26499939,Pomponio,23
19,1,6007065.032,1936010.959,19,4087.918395,106.4280014,Pomponio,23
20,1,6007068.273,1936010.451,20,4091.199029,129.7059937,Pomponio,23
21,1,6007071.514,1936009.944,21,4094.479937,131.2969971,Pomponio,23
22,1,6007074.756,1936009.436,22,4097.760895,134.6609955,Pomponio,23
23,1,6007077.997,1936008.929,23,4101.041802,137.8190002,Pomponio,23
24,1,6007081.238,1936008.422,24,4104.322436,138.3159943,Pomponio,23
25,1,6007084.48,1936007.914,25,4107.603344,138.9029999,Pomponio,23
26,1,6007087.721,1936007.407,26,4110.884251,138.697998,Pomponio,23
27,1,6007090.962,1936006.9,27,4114.164885,138.8880005,Pomponio,23
28,1,6007094.204,1936006.392,28,4117.445793,139.5599976,Pomponio,23
29,1,6007097.445,1936005.885,29,4120.726751,140.1239929,Pomponio,23
30,1,6007100.686,1936005.378,30,4124.007334,140.2740021,Pomponio,23
31,1,6007103.928,1936004.87,31,4127.288292,140.4160004,Pomponio,23
32,1,6007107.169,1936004.363,32,4130.5692,140.4960022,Pomponio,23
33,1,6007110.411,1936003.855,33,4133.850158,140.4210052,Pomponio,23
34,1,6007113.652,1936003.348,34,4137.130741,140.4089966,Pomponio,23
35,1,6007116.893,1936002.841,35,4140.411699,140.6519928,Pomponio,23
36,1,6007120.135,1936002.333,36,4143.692607,140.776001,Pomponio,23
37,1,6007123.376,1936001.826,37,4146.97319,140.7830048,Pomponio,23
38,1,6007126.617,1936001.319,38,4150.254148,140.5130005,Pomponio,23
39,1,6007129.859,1936000.811,39,4153.535056,140.423996,Pomponio,23
40,1,6007133.1,1936000.304,40,4156.81569,140.5249939,Pomponio,23
41,1,6007136.341,1935999.797,41,4160.096597,140.4349976,Pomponio,23
42,1,6007139.583,1935999.289,42,4163.377555,140.4349976,Pomponio,23
43,1,6007142.824,1935998.782,43,4166.658463,140.4609985,Pomponio,23
44,1,6007146.066,1935998.274,44,4169.939097,140.7200012,Pomponio,23
45,1,6007149.307,1935997.767,45,4173.220004,140.7559967,Pomponio,23
46,1,6007152.548,1935997.26,46,4176.500962,141.0070038,Pomponio,23
47,1,6007155.79,1935996.752,47,4179.781545,140.8789978,Pomponio,23
48,1,6007159.031,1935996.245,48,4183.062504,140.9579926,Pomponio,23
49,1,6007162.273,1935995.738,49,4186.343411,140.7149963,Pomponio,23
50,1,6007165.514,1935995.23,50,4189.623994,140.6920013,Pomponio,23
51,1,6007168.755,1935994.723,51,4192.904952,140.3529968,Pomponio,23
52,1,6007171.997,1935994.216,52,4196.18586,140.3569946,Pomponio,23
53,1,6007175.238,1935993.708,53,4199.466818,140.677002,Pomponio,23
54,1,6007178.479,1935993.201,54,4202.747401,140.5140076,Pomponio,23
55,1,6007181.721,1935992.693,55,4206.02836,140.2850037,Pomponio,23
56,1,6007184.962,1935992.186,56,4209.309267,140.2539978,Pomponio,23
57,1,6007188.203,1935991.679,57,4212.589901,140.4129944,Pomponio,23
58,1,6007191.445,1935991.171,58,4215.870808,140.4179993,Pomponio,23
59,1,6007194.686,1935990.664,59,4219.151767,140.0299988,Pomponio,23
60,1,6007197.927,1935990.157,60,4222.43235,140.3509979,Pomponio,23
61,1,6007201.169,1935989.649,61,4225.713257,139.8170013,Pomponio,23
62,1,6007204.41,1935989.142,62,4228.994215,139.345993,Pomponio,23
63,1,6007207.652,1935988.635,63,4232.275123,138.7429962,Pomponio,23
64,1,6007210.893,1935988.127,64,4235.555757,138.0119934,Pomponio,23
65,1,6007214.134,1935987.62,65,4238.836664,137.4060059,Pomponio,23
66,1,6007217.376,1935987.112,66,4242.117622,137.6269989,Pomponio,23
67,1,6007220.617,1935986.605,67,4245.398206,137.0189972,Pomponio,23
68,1,6007223.858,1935986.098,68,4248.679164,136.3820038,Pomponio,23
69,1,6007227.1,1935985.59,69,4251.960071,135.3280029,Pomponio,23
70,1,6007230.341,1935985.083,70,4255.240705,134.272995,Pomponio,23
71,1,6007233.582,1935984.576,71,4258.521613,133.2180023,Pomponio,23
72,1,6007236.824,1935984.068,72,4261.802571,132.1629944,Pomponio,23
73,1,6007240.065,1935983.561,73,4265.083478,131.0359955,Pomponio,23
74,1,6007243.306,1935983.054,74,4268.364062,129.9810028,Pomponio,23
75,1,6007246.548,1935982.546,75,4271.64502,128.5399933,Pomponio,23
76,1,6007249.789,1935982.039,76,4274.925927,126.7779999,Pomponio,23
77,1,6007253.031,1935981.531,77,4278.206561,125.0159988,Pomponio,23
78,1,6007256.272,1935981.024,78,4281.487469,123.1289978,Pomponio,23
79,1,6007259.513,1935980.516,79,4284.768427,122.6569977,Pomponio,23
80,1,6007262.755,1935980.009,80,4288.04901,121.4319992,Pomponio,23
81,1,6007265.996,1935979.502,81,4291.329968,120.5660019,Pomponio,23
82,1,6007269.238,1935978.995,82,4294.610876,119.4430008,Pomponio,23
83,1,6007272.479,1935978.487,83,4297.891834,118.6989975,Pomponio,23
