,TransOrder,M_MSL,M_MHHW  Di,stance_ft,Max_Ero
0,0,0,0,0,0
1,22,5676.027832,5764.945313,88.917481,6546.301743
2,23,5719.106445,5776.700195,57.59375,6553.009381
3,24,5730.31543,5798.560059,68.244629,6393.410053
4,25,5721.012695,5830.179688,109.166992,6626.388049
5,21,5617.70752,5730.711426,113.003906,6525.784763
6,13,5191.882813,5241.88916,50.006348,6012.088533
7,14,5277.167969,5311.468262,34.300293,6074.024365
8,15,5319.692383,5378.45752,58.765137,6151.071839
9,16,5401.614746,5457.535645,55.920898,6238.433234
10,17,5478.112793,5530.708984,52.596191,6173.481222
11,18,5519.481934,5587.697754,68.21582,6377.023511
12,19,5538.101074,5622.012207,83.911133,6419.307296
13,10,4501.359375,4789.21875,287.859375,5169.790409
14,11,4497.864746,4786.554199,288.689453,5161.499028
15,12,4487.919434,4760.967773,273.04834,5143.302343
16,1,4026.1521,4049.58252,23.43042,4469.517829
17,2,3983.405518,4092.599609,109.194092,4569.406944
18,3,3938.522949,4077.567139,139.04419,4558.552336
19,4,3957.856201,4029.249512,71.39331,4492.388241
20,5,3981.016113,4012.562256,31.546143,4460.414367
21,6,4004.285889,4022.117676,17.831787,4340.543167
22,7,4025.721436,4039.323731,13.602295,4204.690674
23,8,4030.37793,4050.330811,19.952881,4196.894031
24,94,3229.952637,3272.52832,42.575684,3583.47696
25,95,3337.270264,3360.693359,23.423096,3486.888526
26,84,3405.730713,3444.104981,38.374268,3778.764435
27,85,3436.719727,3463.839844,27.120117,3831.210608
28,86,3457.292481,3484.45459,27.162109,3806.247672
29,87,3459.239502,3500.132324,40.892822,3799.630511
30,88,3468.477539,3490.686035,22.208496,3724.651231
31,89,3416.434082,3429.558106,13.124023,3501.72805
32,90,3344.692139,3354.051025,9.358887,3580.519054
33,91,3286.366943,3299.671875,13.304932,3474.365609
34,92,3209.544922,3233.48169,23.936768,3399.138996
35,81,2983.261963,3226.96875,243.706787,3736.667676
36,82,3310.673828,3349.618897,38.945068,3639.130118
37,83,3370.328369,3410.849609,40.52124,3754.360793
38,27,2997.285156,3025.626709,28.341553,NaN
39,57,2937.24707,3005.800781,68.553711,3266.983386
40,58,2968.84668,3032.888428,64.041748,3260.321194
41,59,2941.206055,3006.877197,65.671143,3223.386443
42,29,2210.669434,2267.279297,56.609863,2415.276747
43,30,2194.739014,2256.193604,61.45459,2436.081683
44,31,2165.274902,2215.242432,49.967529,2395.003633
45,32,2136.512451,2215.09082,78.578369,2446.01362
46,33,2143.684082,2221.322754,77.638672,2469.22104
47,34,2165.823486,2235.227539,69.404053,2452.215997
48,35,2160.821045,2232.860596,72.039551,2455.920425
49,36,2162.162842,2215.549072,53.386231,2428.76924
50,37,2233.963379,2282.881348,48.917969,2483.285599
51,38,2320.857666,2373.682373,52.824707,2608.8188
52,39,2308.935547,2344.75,35.814453,2550.148225
53,40,2273.429199,2343.150635,69.721436,2398.212488
54,41,2326.773926,2407.804932,81.031006,2705.142044
55,42,2375.323242,2444.667236,69.343994,2696.773497
56,43,2395.421387,2476.924316,81.50293,2736.785531
57,44,2408.59668,2489.584717,80.988037,2748.851936
58,45,2427.752197,2488.335449,60.583252,2710.760749
59,46,2422.689697,2491.813232,69.123535,2725.089354
60,47,2444.426514,2514.941406,70.514893,2765.606721
61,48,2513.957031,2575.403809,61.446777,2771.812862
62,49,2555.12207,2617.815186,62.693115,2803.987435
63,50,2572.167725,2638.226074,66.05835,2859.174885
64,51,2633.974609,2694.701904,60.727295,2921.203761
65,52,2674.543945,2750.121582,75.577637,3068.370654
66,60,4851.546875,4906.369629,54.822754,5242.087776
67,61,4889.492676,4942.746094,53.253418,5213.057443
68,62,4921.778809,4976.611816,54.833008,5315.770122
69,63,5003.67334,5063.899414,60.226074,5338.262181
70,64,5055.313477,5118.634277,63.320801,5381.523344
71,65,5101.266602,5176.124023,74.857422,5495.308045
72,66,5039.314453,5101.553711,62.239258,5402.267892
73,67,5013.282227,5077.217773,63.935547,5328.51986
74,68,5050.379883,5104.643066,54.263184,5368.984967
75,69,5104.473633,5148.695313,44.22168,5367.835209
76,70,5010.378418,5038.080566,27.702148,5321.196628
77,71,4878.855469,4895.748047,16.892578,5185.328789
78,72,4775.689453,4796.754883,21.06543,4861.726167
79,73,4778.561523,4821.617188,43.055664,5164.170828
80,74,4907.056152,4949.806641,42.750488,5310.986262
81,75,5075.563477,5086.919922,11.356445,5113.710802
82,76,5142.933594,5205.919922,62.986328,5586.467427
83,77,5256.176758,5305.822266,49.645508,5553.37545
84,78,5306.269531,5375.28418,69.014648,5631.655398
85,79,5395.986328,5444.076172,48.089844,5729.070817
86,80,5478.900391,5484.598633,5.698242,5509.173859
