OBJECTID,TransOrder,length_ft_ToNAVD0,Length_ft_ToMHHW,Distance_ft
1,22,5676.027832,5764.945313,88.9174805
2,23,5719.106445,5776.700195,57.59375
3,24,5730.31543,5798.560059,68.2446289
4,25,5721.012695,5830.179688,109.1669922
5,21,5617.70752,5730.711426,113.0039063
6,13,5191.882813,5241.88916,50.0063477
7,14,5277.167969,5311.468262,34.3002929
8,15,5319.692383,5378.45752,58.7651367
9,16,5401.614746,5457.535645,55.9208984
10,17,5478.112793,5530.708984,52.5961914
11,18,5519.481934,5587.697754,68.2158203
12,19,5538.101074,5622.012207,83.9111328
13,10,4501.359375,4789.21875,287.859375
14,11,4497.864746,4786.554199,288.6894531
15,12,4487.919434,4760.967773,273.0483398
16,1,4026.1521,4049.58252,23.4304199
17,2,3983.405518,4092.599609,109.1940918
18,3,3938.522949,4077.567139,139.0441895
19,4,3957.856201,4029.249512,71.3933105
20,5,3981.016113,4012.562256,31.5461426
21,6,4004.285889,4022.117676,17.8317871
22,7,4025.721436,4039.323731,13.602295
23,8,4030.37793,4050.330811,19.9528808
24,94,3229.952637,3272.52832,42.5756836
25,95,3337.270264,3360.693359,23.4230957
26,84,3405.730713,3444.104981,38.3742676
27,85,3436.719727,3463.839844,27.1201172
28,86,3457.292481,3484.45459,27.1621093
29,87,3459.239502,3500.132324,40.8928222
30,88,3468.477539,3490.686035,22.2084961
31,89,3416.434082,3429.558106,13.1240235
32,90,3344.692139,3354.051025,9.3588867
33,91,3286.366943,3299.671875,13.3049316
34,92,3209.544922,3233.48169,23.9367676
35,81,2983.261963,3226.96875,243.7067871
36,82,3310.673828,3349.618897,38.9450684
37,83,3370.328369,3410.849609,40.5212403
38,27,2997.285156,3025.626709,28.3415527
39,57,2937.24707,3005.800781,68.553711
40,58,2968.84668,3032.888428,64.041748
41,59,2941.206055,3006.877197,65.6711426
42,29,2210.669434,2267.279297,56.6098633
43,30,2194.739014,2256.193604,61.4545898
44,31,2165.274902,2215.242432,49.9675293
45,32,2136.512451,2215.09082,78.5783691
46,33,2143.684082,2221.322754,77.6386719
47,34,2165.823486,2235.227539,69.4040528
48,35,2160.821045,2232.860596,72.0395508
49,36,2162.162842,2215.549072,53.3862305
50,37,2233.963379,2282.881348,48.9179688
51,38,2320.857666,2373.682373,52.824707
52,39,2308.935547,2344.75,35.8144531
53,40,2273.429199,2343.150635,69.7214356
54,41,2326.773926,2407.804932,81.0310058
55,42,2375.323242,2444.667236,69.3439941
56,43,2395.421387,2476.924316,81.5029297
57,44,2408.59668,2489.584717,80.9880371
58,45,2427.752197,2488.335449,60.5832519
59,46,2422.689697,2491.813232,69.1235351
60,47,2444.426514,2514.941406,70.5148926
61,48,2513.957031,2575.403809,61.4467773
62,49,2555.12207,2617.815186,62.6931152
63,50,2572.167725,2638.226074,66.0583496
64,51,2633.974609,2694.701904,60.7272949
65,52,2674.543945,2750.121582,75.5776367
66,60,4851.546875,4906.369629,54.8227539
67,61,4889.492676,4942.746094,53.253418
68,62,4921.778809,4976.611816,54.8330078
69,63,5003.67334,5063.899414,60.2260743
70,64,5055.313477,5118.634277,63.3208007
71,65,5101.266602,5176.124023,74.8574218
72,66,5039.314453,5101.553711,62.2392578
73,67,5013.282227,5077.217773,63.9355468
74,68,5050.379883,5104.643066,54.2631836
75,69,5104.473633,5148.695313,44.2216797
76,70,5010.378418,5038.080566,27.7021484
77,71,4878.855469,4895.748047,16.8925781
78,72,4775.689453,4796.754883,21.0654297
79,73,4778.561523,4821.617188,43.0556641
80,74,4907.056152,4949.806641,42.7504883
81,75,5075.563477,5086.919922,11.3564453
82,76,5142.933594,5205.919922,62.9863281
83,77,5256.176758,5305.822266,49.6455078
84,78,5306.269531,5375.28418,69.0146484
85,79,5395.986328,5444.076172,48.0898438
86,80,5478.900391,5484.598633,5.6982422
